t,c1,c2,c3,psi,z
0.4,1.03E-10,0,0,-0.996,-0.27
0.4,0,0,0,-0.998,-0.28
0.4,0,0,0,-0.999,-0.29
0.4,0,0,0,-0.999,-0.3
0.4,0,0,0,-1,-0.31
0.4,0,0,0,-1,-0.32
0.4,0,0,0,-1,-0.33
0.4,0,0,0,-1,-0.34
0.4,0,0,0,-1,-0.35
0.4,0,0,0,-1,-0.36
0.4,0,0,0,-1,-0.37
0.4,0,0,0,-1,-0.38
0.4,0,0,0,-1,-0.39
0.4,0,0,0,-1,-0.4
0.4,0,0,0,-1,-0.41
0.4,0,0,0,-1,-0.42
0.4,0,0,0,-1,-0.43
0.4,0,0,0,-1,-0.44
0.4,0,0,0,-1,-0.45
0.4,0,0,0,-1,-0.46
0.4,0,0,0,-1,-0.47
0.4,0,0,0,-1,-0.48
0.4,0,0,0,-1,-0.49
0.4,0,0,0,-1,-0.5
0.4,0,0,0,-1,-0.51
0.4,0,0,0,-1,-0.52
0.4,0,0,0,-1,-0.53
0.4,0,0,0,-1,-0.54
0.4,0,0,0,-1,-0.55
0.4,0,0,0,-1,-0.56
0.4,0,0,0,-1,-0.57
0.4,0,0,0,-1,-0.58
0.4,0,0,0,-1,-0.59
0.4,0,0,0,-1,-0.6
0.4,0,0,0,-1,-0.61
0.4,0,0,0,-1,-0.62
0.4,0,0,0,-1,-0.63
0.4,0,0,0,-1,-0.64
0.4,0,0,0,-1,-0.65
0.4,0,0,0,-1,-0.66
0.4,0,0,0,-1,-0.67
0.4,0,0,0,-1,-0.68
0.4,0,0,0,-1,-0.69
0.4,0,0,0,-1,-0.7
0.4,0,0,0,-1,-0.71
0.4,0,0,0,-1,-0.72
0.4,0,0,0,-1,-0.73
0.4,0,0,0,-1,-0.74
0.4,0,0,0,-1,-0.75
0.4,0,0,0,-1,-0.76
0.4,0,0,0,-1,-0.77
0.4,0,0,0,-1,-0.78
0.4,0,0,0,-1,-0.79
0.4,0,0,0,-1,-0.8
0.4,0,0,0,-1,-0.81
0.4,0,0,0,-1,-0.82
0.4,0,0,0,-1,-0.83
0.4,0,0,0,-1,-0.84
0.4,0,0,0,-1,-0.85
0.4,0,0,0,-1,-0.86
0.4,0,0,0,-1,-0.87
0.4,0,0,0,-1,-0.88
0.4,0,0,0,-1,-0.89
0.4,0,0,0,-1,-0.9
0.4,0,0,0,-1,-0.91
0.4,0,0,0,-1,-0.92
0.4,0,0,0,-1,-0.93
0.4,0,0,0,-1,-0.94
0.4,0,0,0,-1,-0.95
0.4,0,0,0,-1,-0.96
0.4,0,0,0,-1,-0.97
0.4,0,0,0,-1,-0.98
0.4,0,0,0,-1,-0.99
0.4,0,0,0,-1,-1
0.5,40.83,0.582,16.55,-0.141,0
0.5,38.39,0.7089,15.62,-0.145,-0.01
0.5,35.76,0.7988,14.6,-0.15,-0.02
0.5,32.97,0.8541,13.5,-0.155,-0.03
0.5,30.07,0.8776,12.35,-0.161,-0.04
0.5,27.1,0.8729,11.16,-0.168,-0.05
0.5,24.11,0.8441,9.958,-0.175,-0.06
0.5,21.15,0.7956,8.757,-0.184,-0.07
0.5,18.28,0.7319,7.583,-0.194,-0.08
0.5,15.53,0.6577,6.457,-0.206,-0.09
0.5,12.96,0.5771,5.398,-0.219,-0.1
0.5,10.6,0.4942,4.423,-0.234,-0.11
0.5,8.47,0.4124,3.542,-0.252,-0.12
0.5,6.598,0.3345,2.764,-0.273,-0.13
0.5,4.991,0.2631,2.095,-0.298,-0.14
0.5,3.646,0.1997,1.533,-0.328,-0.15
0.5,2.556,0.1453,1.077,-0.364,-0.16
0.5,1.702,0.1005,0.7184,-0.406,-0.17
0.5,1.063,0.06532,0.4499,-0.456,-0.18
0.5,0.6118,0.03915,0.2595,-0.516,-0.19
0.5,0.3163,0.02114,0.1345,-0.584,-0.2
0.5,0.1419,0.009939,0.06052,-0.659,-0.21
0.5,0.05291,0.003903,0.02264,-0.735,-0.22
0.5,0.01559,0.001219,0.006698,-0.808,-0.23
0.5,0.003451,0.0002884,0.00149,-0.87,-0.24
0.5,0.0005427,4.91E-05,0.0002358,-0.916,-0.25
0.5,5.82E-05,5.78E-06,2.55E-05,-0.947,-0.26
0.5,4.30E-06,4.79E-07,1.90E-06,-0.967,-0.27
0.5,2.31E-07,2.94E-08,1.04E-07,-0.981,-0.28
0.5,9.55E-09,1.40E-09,4.37E-09,-0.989,-0.29
0.5,3.22E-10,0,1.51E-10,-0.993,-0.3
0.5,0,0,0,-0.996,-0.31
0.5,0,0,0,-0.998,-0.32
0.5,0,0,0,-0.999,-0.33
0.5,0,0,0,-0.999,-0.34
0.5,0,0,0,-1,-0.35
0.5,0,0,0,-1,-0.36
0.5,0,0,0,-1,-0.37
0.5,0,0,0,-1,-0.38
0.5,0,0,0,-1,-0.39
0.5,0,0,0,-1,-0.4
0.5,0,0,0,-1,-0.41
0.5,0,0,0,-1,-0.42
0.5,0,0,0,-1,-0.43
0.5,0,0,0,-1,-0.44
0.5,0,0,0,-1,-0.45
0.5,0,0,0,-1,-0.46
0.5,0,0,0,-1,-0.47
0.5,0,0,0,-1,-0.48
0.5,0,0,0,-1,-0.49
0.5,0,0,0,-1,-0.5
0.5,0,0,0,-1,-0.51
0.5,0,0,0,-1,-0.52
0.5,0,0,0,-1,-0.53
0.5,0,0,0,-1,-0.54
0.5,0,0,0,-1,-0.55
0.5,0,0,0,-1,-0.56
0.5,0,0,0,-1,-0.57
0.5,0,0,0,-1,-0.58
0.5,0,0,0,-1,-0.59
0.5,0,0,0,-1,-0.6
0.5,0,0,0,-1,-0.61
0.5,0,0,0,-1,-0.62
0.5,0,0,0,-1,-0.63
0.5,0,0,0,-1,-0.64
0.5,0,0,0,-1,-0.65
0.5,0,0,0,-1,-0.66
0.5,0,0,0,-1,-0.67
0.5,0,0,0,-1,-0.68
0.5,0,0,0,-1,-0.69
0.5,0,0,0,-1,-0.7
0.5,0,0,0,-1,-0.71
0.5,0,0,0,-1,-0.72
0.5,0,0,0,-1,-0.73
0.5,0,0,0,-1,-0.74
0.5,0,0,0,-1,-0.75
0.5,0,0,0,-1,-0.76
0.5,0,0,0,-1,-0.77
0.5,0,0,0,-1,-0.78
0.5,0,0,0,-1,-0.79
0.5,0,0,0,-1,-0.8
0.5,0,0,0,-1,-0.81
0.5,0,0,0,-1,-0.82
0.5,0,0,0,-1,-0.83
0.5,0,0,0,-1,-0.84
0.5,0,0,0,-1,-0.85
0.5,0,0,0,-1,-0.86
0.5,0,0,0,-1,-0.87
0.5,0,0,0,-1,-0.88
0.5,0,0,0,-1,-0.89
0.5,0,0,0,-1,-0.9
0.5,0,0,0,-1,-0.91
0.5,0,0,0,-1,-0.92
0.5,0,0,0,-1,-0.93
0.5,0,0,0,-1,-0.94
0.5,0,0,0,-1,-0.95
0.5,0,0,0,-1,-0.96
0.5,0,0,0,-1,-0.97
0.5,0,0,0,-1,-0.98
0.5,0,0,0,-1,-0.99
0.5,0,0,0,-1,-1
0.6,42.12,0.6819,17.1,-0.132,0
0.6,40.01,0.8345,16.31,-0.135,-0.01
0.6,37.74,0.9505,15.45,-0.138,-0.02
0.6,35.31,1.031,14.51,-0.142,-0.03
0.6,32.76,1.078,13.5,-0.146,-0.04
0.6,30.11,1.095,12.45,-0.151,-0.05
0.6,27.39,1.084,11.36,-0.156,-0.06
0.6,24.66,1.05,10.26,-0.162,-0.07
0.6,21.95,0.9955,9.15,-0.169,-0.08
0.6,19.29,0.9255,8.061,-0.176,-0.09
0.6,16.73,0.844,7.007,-0.185,-0.1
0.6,14.3,0.755,6.002,-0.195,-0.11
0.6,12.03,0.6624,5.061,-0.206,-0.12
0.6,9.951,0.5694,4.194,-0.218,-0.13
0.6,8.076,0.4792,3.411,-0.233,-0.14
0.6,6.417,0.3941,2.715,-0.251,-0.15
0.6,4.977,0.3159,2.11,-0.271,-0.16
0.6,3.756,0.2462,1.595,-0.294,-0.17
0.6,2.744,0.1856,1.168,-0.322,-0.18
0.6,1.929,0.1347,0.8226,-0.355,-0.19
0.6,1.294,0.0933,0.5531,-0.394,-0.2
0.6,0.8191,0.06101,0.3508,-0.44,-0.21
0.6,0.4814,0.0371,0.2067,-0.495,-0.22
0.6,0.257,0.02053,0.1106,-0.558,-0.23
0.6,0.1212,0.01006,0.0523,-0.628,-0.24
0.6,0.04849,0.004202,0.021,-0.703,-0.25
0.6,0.01574,0.00143,0.006844,-0.775,-0.26
0.6,0.003949,0.0003786,0.001725,-0.842,-0.27
0.6,0.0007285,7.44E-05,0.0003201,-0.894,-0.28
0.6,9.39E-05,1.03E-05,4.16E-05,-0.932,-0.29
0.6,8.30E-06,1.00E-06,3.71E-06,-0.957,-0.3
0.6,5.22E-07,7.04E-08,2.37E-07,-0.973,-0.31
0.6,2.48E-08,3.79E-09,1.14E-08,-0.984,-0.32
0.6,9.38E-10,1.64E-10,4.41E-10,-0.99,-0.33
0.6,0,0,0,-0.994,-0.34
0.6,0,0,0,-0.997,-0.35
0.6,0,0,0,-0.998,-0.36
0.6,0,0,0,-0.999,-0.37
0.6,0,0,0,-0.999,-0.38
0.6,0,0,0,-1,-0.39
0.6,0,0,0,-1,-0.4
0.6,0,0,0,-1,-0.41
0.6,0,0,0,-1,-0.42
0.6,0,0,0,-1,-0.43
0.6,0,0,0,-1,-0.44
0.6,0,0,0,-1,-0.45
0.6,0,0,0,-1,-0.46
0.6,0,0,0,-1,-0.47
0.6,0,0,0,-1,-0.48
0.6,0,0,0,-1,-0.49
0.6,0,0,0,-1,-0.5
0.6,0,0,0,-1,-0.51
0.6,0,0,0,-1,-0.52
0.6,0,0,0,-1,-0.53
0.6,0,0,0,-1,-0.54
0.6,0,0,0,-1,-0.55
0.6,0,0,0,-1,-0.56
0.6,0,0,0,-1,-0.57
0.6,0,0,0,-1,-0.58
0.6,0,0,0,-1,-0.59
0.6,0,0,0,-1,-0.6
0.6,0,0,0,-1,-0.61
0.6,0,0,0,-1,-0.62
0.6,0,0,0,-1,-0.63
0.6,0,0,0,-1,-0.64
0.6,0,0,0,-1,-0.65
0.6,0,0,0,-1,-0.66
0.6,0,0,0,-1,-0.67
0.6,0,0,0,-1,-0.68
0.6,0,0,0,-1,-0.69
0.6,0,0,0,-1,-0.7
0.6,0,0,0,-1,-0.71
0.6,0,0,0,-1,-0.72
0.6,0,0,0,-1,-0.73
0.6,0,0,0,-1,-0.74
0.6,0,0,0,-1,-0.75
0.6,0,0,0,-1,-0.76
0.6,0,0,0,-1,-0.77
0.6,0,0,0,-1,-0.78
0.6,0,0,0,-1,-0.79
0.6,0,0,0,-1,-0.8
0.6,0,0,0,-1,-0.81
0.6,0,0,0,-1,-0.82
0.6,0,0,0,-1,-0.83
0.6,0,0,0,-1,-0.84
0.6,0,0,0,-1,-0.85
0.6,0,0,0,-1,-0.86
0.6,0,0,0,-1,-0.87
